pred_precio_log,precio_pred,id
5.343146,209.17,2451930
5.410973,223.85,2456837
6.2538176,519.99,2457914
5.330513,206.54,2464488
5.0377297,154.12,2464498
5.8686237,353.76,2464761
5.479421,239.71,2469678
5.406829,222.92,2469747
5.2913446,198.61,2490660
5.1924047,179.9,2491989
5.7462792,313.02,2492876
5.3769336,216.36,2494484
5.6621943,287.78,2497307
5.7220187,305.52,2498424
5.4847827,241.0,2505126
5.3771586,216.41,2506445
5.340772,208.67,2512546
5.2829895,196.96,2528991
5.4524646,233.33,2536121
5.2812204,196.61,2536314
5.3732195,215.56,2538360
5.946741,382.5,2542510
5.5982695,269.96,2552286
5.865118,352.52,2555964
5.2294984,186.7,2557934
5.2700653,194.43,2563231
4.5388427,93.58,2568864
4.9411592,139.93,2576955
5.106219,165.05,2577644
5.450305,232.83,2588674
5.339731,208.46,2599849
4.5712967,96.67,2610473
4.5410705,93.79,2614577
5.9810176,395.84,2624310
5.533058,252.92,2626530
5.2538204,191.3,2634227
5.5160136,248.64,2643611
5.116268,166.71,2650947
5.273817,195.16,2669219
5.4979134,244.18,2670047
5.311218,202.6,2689106
5.642391,282.14,2698602
3.8062336,44.98,2704481
5.275012,195.39,2722884
5.576219,264.07,2725917
4.2887397,72.87,2726925
5.208473,182.81,2727935
5.580923,265.32,2729680
5.6387277,281.1,2736626
6.426449,617.98,2741544
5.5379844,254.17,2742376
5.266347,193.71,2743539
6.1989546,492.23,2743922
5.8045564,331.81,2744359
5.83488,342.02,2744849
5.2264333,186.13,2755738
5.524704,250.81,2758050
5.292294,198.8,2760787
5.171961,176.26,2761639
5.4779196,239.35,2762205
5.543673,255.62,2775642
5.834504,341.9,2779738
5.278664,196.11,2781640
5.390157,219.24,2786688
5.38858,218.89,2788377
5.6011796,270.75,2788720
5.5167503,248.83,2791159
5.8713584,354.73,2807247
4.355722,77.92,2809378
5.2665176,193.74,2814997
2.9438443,18.99,2824043
5.240524,188.77,2828143
5.558818,259.52,2843976
5.27277,194.96,2860194
5.4011536,221.66,2877579
5.666249,288.95,2884805
5.3190784,204.2,2885126
5.5319247,252.63,2896610
5.40283,222.03,2910491
5.886016,359.97,2911237
5.9019036,365.73,2926905
3.9412408,51.48,2930798
5.43056,228.28,2951974
6.664534,784.1,2952788
5.524397,250.74,2975838
5.670128,290.07,2978330
5.5604935,259.95,2981721
3.5553815,35.0,2984409
5.767105,319.61,2987539
5.595256,269.15,2991893
5.3145027,203.26,2992138
5.8022203,331.03,2996993
5.186597,178.86,3000013
5.1877875,179.07,3000464
5.4084587,223.29,3000888
5.1752453,176.84,3007161
5.5528593,257.97,3007327
5.269181,194.26,3008815
5.9767933,394.17,3016050
6.210615,498.01,3020664
3.5635402,35.29,3025649
5.523213,250.44,3027670
5.550554,257.38,3030563
5.783219,324.8,3036626
5.3358364,207.65,3045137
5.4657288,236.45,3046491
5.6577916,286.52,3059513
5.1197095,167.29,3082152
5.1158667,166.65,3082703
5.3396015,208.43,3089510
5.5916944,268.19,3097481
5.6658926,288.85,3099145
5.8066807,332.51,3110029
5.8533025,348.38,3110443
